	phenotype
2523	I
2524	I
2525	I
2526	I
2527	M
2528	I
2529	I
2530	I
2531	M
2532	P
2533	Exh
2534	Exh
2535	E
2536	M
2537	I
2538	I
2539	E
2540	I
2541	I
2542	I
2543	P
2544	P
2545	P
2546	I
2547	I
2548	I
2549	I
2550	Exh
2551	I
2552	I
2553	Exh
2554	P
2555	I
2556	Exh
2557	P
2558	P
2559	I
2560	I
2561	I
2562	E
2563	E
2564	I
2565	P
2566	I
2567	Exh
2568	E
2569	Exh
2570	I
2571	I
2572	M
2573	I
2574	P
2575	Exh
2576	I
2577	I
2578	M
2579	I
2580	I
2581	P
2582	I
2583	I
2584	P
2585	I
2586	I
2587	Exh
2588	I
2589	I
2590	I
2591	I
2592	I
2593	E
2594	E
2595	P
2596	I
2597	I
2598	I
2599	M
2600	I
2601	E
2602	I
2603	I
2604	P
2605	I
2606	P
2607	M
2608	I
2609	I
2610	P
2611	E
2612	P
2613	E
2614	E
2615	I
2616	M
2617	E
2618	I
2619	I
2620	I
2621	I
2622	P
2623	I
2624	E
2625	E
2626	I
2627	I
2628	P
2629	I
2630	P
2631	I
2632	I
2633	I
2634	E
2635	I
2636	E
2637	I
2638	M
2639	P
2640	I
2641	I
2642	E
2643	M
2644	M
2645	M
2646	Exh
2647	I
2648	I
2649	I
2650	I
2651	I
2652	P
2653	E
2654	I
2655	I
2656	I
2657	I
2658	I
2659	Exh
2660	I
2661	P
2662	I
2663	I
2664	I
2665	M
2666	P
2667	Exh
2668	P
2669	I
2670	P
2671	P
2672	E
2673	I
2674	E
2675	Exh
2676	E
2677	I
2678	P
2679	Exh
2680	I
2681	I
2682	I
2683	I
2684	Exh
2685	I
2686	P
2687	P
2688	P
2689	I
2690	E
2691	M
2692	I
2693	I
2694	I
2695	E
2696	M
2697	I
2698	I
2699	Exh
2700	E
2701	I
2702	I
2703	Exh
2704	I
2705	Exh
2706	P
2707	I
2708	I
2709	I
2710	P
2711	P
2712	Exh
2713	P
2714	E
2715	I
2716	I
2717	I
2718	P
2719	I
2720	I
2721	I
2722	Exh
2723	I
