	factor_1	factor_2	factor_3
THY1	0.0	0.0	0.0
AP002762.2	0.0	0.0	0.0
FEZ1	0.0	0.0	0.0
ETS1	0.0	0.0	0.0
C11orf45	0.0	0.0	0.0
IGSF9B	0.0	0.0	0.0
AP000911.1	0.0	0.0	0.0
B3GAT1	0.0	0.0	0.0
PGGHG	0.0	0.0	0.0
IFITM1	0.0	0.0	0.0
PKP3	0.0	0.0	0.0
AC131934.1	0.0	0.0	0.0
AP006621.3	0.0	0.0	0.0
PANO1	0.0	0.0	0.0
CD151	0.0	0.0	0.0
TOLLIP-AS1	0.0	0.0	0.0
BRSK2	0.0	0.0	0.0
TNNT3	0.0	0.0	0.0
TSPAN32	0.0	0.0	0.0
CARS-AS1	0.0	0.0	0.0
AC090587.2	0.0	0.0	0.0
LINC02749	0.0	0.0	0.0
OR52I1	0.0	0.0	0.0
OR51M1	0.0	0.0	0.0
SWAP70	0.0	0.0	0.0
AC011092.3	0.0	0.0	0.0
ZBED5-AS1	0.0	0.0	0.0
AC021269.3	0.0	0.0	0.0
SPON1	0.0	0.0	0.0
PDE3B	0.0	0.0	0.0
NUCB2	0.0	0.0	0.0
BDNF-AS	0.0	0.0	0.0
AC113192.3	0.0	0.0	0.0
AL133330.2	0.0	0.0	0.0
ACCSL	0.0	0.0	0.0
MAPK8IP1	0.0	0.0	0.0
AC024475.1	0.0	0.0	0.0
AC127035.1	0.0	0.0	0.0
FAM180B	0.0	0.0	0.0
FAM111B	0.0	0.0	0.0
MS4A3	0.0	0.0	0.0
MS4A2	0.0	0.0	0.0
MS4A7	0.0	0.0	0.0
MS4A1	0.0	0.0	0.0
CD6	0.0	0.0	0.0
PPP1R32	0.0	0.0	0.0
AP000753.1	0.0	0.0	0.0
VEGFB	0.0	0.0	0.0
SPDYC	0.0	0.0	0.0
NEAT1	0.0	0.0	0.0
MALAT1	0.0	0.0	0.0
CTSW	0.0	0.0	0.0
TSGA10IP	0.0	0.0	0.0
ACTN3	0.0	0.0	0.0
TBC1D10C	0.0	0.0	0.0
LRP5	0.0	0.0	0.0
MYEOV	0.0	0.0	0.0
CCND1	0.0	0.0	0.0
CTTN	0.0	0.0	0.0
DEFB108B	0.0	0.0	0.0
LRTOMT	0.0	0.0	0.0
LINC01537	0.0	0.0	0.0
ARAP1-AS1	0.0	0.0	0.0
AP002993.1	0.0	0.0	0.0
TPBGL	0.0	0.0	0.0
AP001972.2	0.0	0.0	0.0
SERPINH1	0.0	0.0	0.0
AP001189.1	0.0	0.0	0.0
LINC02734	0.0	0.0	0.0
PRSS23	0.0	0.0	0.0
KDM4E	0.0	0.0	0.0
CEP126	0.0	0.0	0.0
