	B	B	B	MP	MP	MP	NK	NK	NK
	p	logFC	p_adj	p	logFC	p_adj	p	logFC	p_adj
TRAJ48									
TRAJ47									
TRAJ45									
TRAJ39									
TRAJ37									
TRAJ35									
TRAJ32									
TRAJ30									
TRAJ26									
TRAJ24									
TRAJ21									
TRAJ19									
TRAJ13									
TRAJ12									
TRAJ9									
TRAJ6									
TRAC									
AL132780.1									
RNF212B									
CMTM5									
CARMIL3									
NFATC4									
AKAP6									
INSM2									
MIPOL1									
AL162632.3									
AL162632.1									
PTGDR									
PTGER2									
AL139317.3									
AL352979.2									
LGALS3									
DACT1									
PRKCH									
AL355916.1									
SYNE2									
PLEKHD1									
AC004816.2									
RGS6									
AC005225.3									
AL691403.2									
FOS									
AF111169.4									
AL133279.1									
AL122020.2									
AL135818.1									
IFI27									
TCL6									
TCL1B									
AL139020.1									
TUNAR									
EXOC3L4									
TNFAIP2									
AL583722.2									
CEP170B									
CLBA1									
CRIP2									
CRIP1									
AC246787.2									
FAM30A									
LINC00226									
OCA2									
AC127522.1									
GOLGA8R									
AC123768.3									
AC010809.3									
GOLGA8A									
GOLGA8B									
AC021231.1									
MEIS2									
RASGRP1									
AC022929.2									
C15orf56									
AC013356.3									
SPTBN5									
ELL3									
AC051619.6									
MYEF2									
HDC									
AC022087.1									
AC021752.1									
DMXL2									
AC020892.1									
AC090518.1									
ANXA2									
RORA									
DAPK2									
PCLAF									
RBPMS2									
AC013553.4									
IGDCC4									
AC011939.2									
ITGA11									
AC027237.2									
SCAPER									
TSPAN3									
ACSBG1									
AC027228.2									
RASGRF1									
BCL2A1									
AC027808.2									
GOLGA6L10									
AC105339.6									
FSD2									
AC021739.4									
KLHL25									
AC068831.1									
FAM174B									
AC015660.1									
AC027020.2									
PCSK6									
SNHG14									
APBA2									
AC114546.1									
AC116158.1									
AC116158.2									
LINC02694									
C15orf54									
THBS1									
AC023908.3									
AC091045.1									
STARD9									
AC090510.3									
MAP1A									
WDR76									
AC013452.2									
AC023906.3									
LINC00926									
LIPC									
AC009560.3									
AC073167.1									
SNX22									
AC100830.2									
AC100830.1									
SKOR1									
AC090826.2									
CPLX3									
AC090607.1									
CFAP161									
GOLGA6L9									
SH3GL3									
ALPK3									
LUNAR1									
SYNM									
AC090825.1									
RHBDF1									
Z69706.1									
AL031717.1									
AC093525.3									
AC004232.1									
GLIS2-AS1									
GRIN2A									
AC133065.1									
AC007014.1									
AC099489.1									
CPPED1									
MYH11									
NOMO2									
KNOP1									
IGSF6									
AC092375.2									
PDZD9									
AC092338.3									
LCMT1-AS2									
LINC02195									
AC138904.1									
SEZ6L2									
KCTD13									
SEPTIN1									
PYDC1									
AC026471.3									
AC007496.1									
AC007347.1									
AC009102.2									
AC009090.2									
KIFC3									
KCTD19									
SMPD3									
PHLPP2									
AC009075.1									
AC138627.1									
TMEM231									
DUXB									
WWOX-AS1									
AC106743.1									
MAF									
AC009148.1									
SDR42E1									
AC092142.1									
SLC38A8									
ATP2C2-AS1									
COTL1									
AC092127.2									
AC009108.3									
AC126696.3									
Z69666.1									
HBA2									
HBA1									
HBQ1									
FAM234A									
WDR90									
METRN									
AL023882.1									
AL031716.1									
TPSAB1									
AL032819.3									
AL031705.1									
TMEM204									
SNHG9									
TEDC2									
IL32									
AC108134.4									
AC004494.1									
DNASE1									
SMIM22									
AC022167.3									
TNFRSF17									
NPIPA1									
AC005632.6									
AC092338.1									
ATP2A1									
CD19									
LAT									
AC009133.3									
AC120114.1									
AC012645.2									
AC012645.4									
ITGAM									
ITGAD									
AC026471.5									
TGFB1I1									
IGHV1OR16-1									
AC007494.2									
AC023813.1									
LINC02180									
AC007342.4									
AC007342.5									
AC007342.1									
